user,song_list,song_sentiment
josh,"livin' on a prayer by bon jovi,perfect by ed sheeran,galway girl by ed sheeran,romeo and juliet by dire straits","Positive,Positive,Negative,Positive"
stark,"crazy little thing called love - remastered 2011 by queen,we will rock you - remastered by queen,hey, soul sister by train,hey, soul sister by train,ayo by chris brown,loyal by chris brown","Positive,Negative,Positive,Positive,Negative,Negative"
